Scientific name	Common name(s)	Type	Form	Low Zone Hardiness	High Zone Hardiness	low Soil moisture	high Soil moisture	Native Range	low Sunlight	high Sunlight	Bloom time	fruit time	Needs trellis?	Provides trellis?	Specialist Species hosted by only thisgenus (leave blank if none)	Insect Keystone plant? https://www.nwf.org/Garden-for-Wildlife/About/Native-Plants/keystone-plants-by-ecoregion	Feeds birds?	Feeds small mammals?	Feeds large mammals?	Spready-ness	Nitrogen Fixing?	Edible value?	Calories per plant	parts edible	Disturbance toleration	found in?	Root shape?	Salt Tolerance	Shade Production	Wind Hardiness	Lifespan Average	Soil Type	Soil ph	BTU	Hardness Scale	Rot Resistance
Monarda fistola	Wild bergamot beebalm	Herbaceous Perennial																																		
Myrica pensylvanica	Bayberry	Woody Perennial																																		
Nyssa sylvatica	black tupelo	Woody Perennial		4	9																															
Oenothera Biennis	Evening Primrose	Herbaceous Biennial	herbacious flower	4	9	1	2	NA	5	5	Late Summer	Late Fall	no	yes	Schinia florida Melissodes fimbriatus Lasioglossum oenotherae	no	yes			7	no	2	32	entire plant, especially root	10	Highland			1							
Opuntia humifusa	Eastern Prickly Pear	Herbaceous Perennial	cactus / succulent	4	9	0	1	Eastern NA	5	5	Summer	Late Summer	no	no		no					no	4		Pads, fruit		Arid		2	0							
Oxalis violacea	violet woodsorrel																																			
Panicum virgatum	switchgrass	Herbaceous Perennial	grass	3	9								no	no		no					no								2							
passiflora incarnata	maypop	Herbaceous Perennial	vine																																	
Passiflora lutea	yellow passionflower	Herbaceous Perennial	vine	5	10								yes	no	Anthemurgus passiflorae	no					no								0							
penstemon digitalis	foxglove beardtongue														Osmia distincta																					
physalis virginiana	virginia groundcherry	Herbaceous Perennial	herbacious flower	6	9								no	no	Perdita halictoides Lasioglossum pectinatum	no					no															
Pontederia cordata	Pickerelweed	Herbaceous Perennial	herbacious flower	3	10								no	no	Dufourea novae-angliae	no					no															
Prunus americana	American Plum	Woody Perennial	understory tree	3	8	2	2	Eastern NA	1	5	Late Spring	Early Fall	no	yes	Satyrium titus Synanthedon exitiosa	yes					no	4		fruit					4							
prunus serotina	black cherry	Woody Perennial	tree	3	9								no	yes	Satyrium titus Synanthedon exitiosa	yes					no	4		fruit					4							
Quercus alba	White Oak	Woody Perennial	canopy tree	3	9	2	2	Eastern NA	5	5		Fall	no	yes	Parrhasius m-album Bucculatrix luteella  Buccalatrix ochrisuffusa Filbert Weevils  Callirhytis 	yes	yes	yes	yes	6	no	5	1,741,000	acorn					5							
Quercus michauxii	Swamp Chestnut Oak			5	9																															
Quercus montana 	Chestnut Oak			4	8																															
Quercus phellos 	Willow Oak			6	9																															
Robinia Pseudoacacia	Black Locust	Woody Perennial	canopy tree	3	9	1	2	Southeast NA	4	5	Spring	Late Summer	no	yes	Megacyllene robiniae			no	no	7	yes	3		flowers	8	Sunny generalist	0	1	4							
Rubus strigosus	brambles	Woody Perennial	shrub	3	7								no	yes		yes					no		186,000	berry					2							
Rudbeckia hirta	Black-eyed Susan	Herbaceous Annual	herbacious flower	3	10	1	2	NA	5	5	Summer	Fall	no	no	Chlosyne nycteis	yes					no	0				Sunny generalist			1							
sagittaria latifolia	Katniss, Broadleaf Arrowhead	Herbaceous Perennial	herbacious flower	5	10	4	4	NA	5	5			no	no		no				5	no	4	375	tuber	7				1							
salix nigra	willow	Woody Perennial	canopy tree	4	9	2	3	Eastern NA	1	5	Spring		no	yes	Andrena clarkella Andrena mariae  Andrena nida Andrena wellesleyana Perdita maculigera	yes					no	1			7	Riparian			4							
Sanguinaria canadensis	bloodroot	Herbaceous Perennial	herbacious flower	3	9	2	3	Eastern NA	0	1	Early spring									7	no															
Schizachyrium scoparium	little bluestem	Herbaceous Perennial	grass	4	10								no	no		no					no								2							
Scirpus atrovirens	green bullrush	Herbaceous Perennial	grass																																	
Senna hebecarpa	Wild Senna																																			
Solidago canadensis	canada goldenrod																																			
Sorghastrum nutans	indian grass	Herbaceous Perennial	grass	2	9								no	no		no					no								2							
Spergularia marina	saltmarsh sand spurry	Herbaceous Annual	herbacious flower	7	11																							3								
Symphyotrichum lanceolatum	panicled aster																																			
Symphyotrichum novae-angliae	New England Aster																																			
Taxodium distichum	Bald Cypress			4	10																															
Tilia americana	american basswood																																			
Tradescantia Virginiana	Virginia Spiderwort	Herbaceous Perennial	herbacious flower	4	9	2	2	Eastern NA	2	2	Summer		no			no				2	no	2	10	all	3											
Typha Latifolia	Broadleaf Cattail	Herbaceous Perennial	grass	3	10	4	4	NA	5	5	Early Summer		no	yes		no				8	no	4	205	pollen, shoots, rhizome	8				2							
Vaccinium corymbosum	northern highbush blueberry	Woody Perennial	shrub	4	8			Eastern NA					no	yes	Panurginus atramontensis	yes	yes	yes	yes		no															
Yucca filamentosa	Yucca Adam's Needle	Herbaceous Perennial	grass	5	10			Southeast NA					no	no	Tegeticula	no					no				7											
Zizania palustris	manoomin, wild rice	Herbaceous Annual	grass	5	9	3	5	Northern NA	5	5							yes					5	5	seeds		Riverine / lake										
Zizia aurea	Golden Alexander																																			
